Consumer_complaint,Product,Sentiment,Priority
"I normally never call the bank with any issues. I had a terrible experience with my card declining and I had to leave the store. When I called I was told I would need to speak to the Account Services Department. I waited 1 hour and 20 min to speak to an agent, just to be transferred to another agent. That is unacceptable and I am reconsidering my relationship with this institution. I spoke to 4 useless agents and my debit card is still declining all my transactions. I ended up sending money via XXXX to another account I have and will ultimately change my direct deposit and close my account.",Checking or savings account or service,0,1
"US Bank rearranged transactions, causing multiple overdrafts. 
When a transaction occurred it would reduce my available balance, and show in my pending transactions. Then, a transaction that technically occurred before the pending transaction, but had not been presented until after the pending transaction, would be rearranged to be withdrawn before the pending transaction. XXXX example : Available Balance on XXXX/XXXX/16 : {$50.00} ~~ XXXX Gas Purchase : {$30.00} ( {$1.00} Presented to bank ) ~~ XXXX Purchase at grocery store : {$25.00} ( Pending-Available balance reduced ) ~~ XXXX Deposit of {$5.00} ~~ XXXX Gas purchase finally presented XXXX Transaction rearranged, so that the total gas purchase is now placed before the grocery store purchase, despite it already affecting available balance. 
There are also other examples of US Bank rearranging transactions to access overdraft fees.",Checking or savings account or service,1,1
"MyAccount at Bank of America and or my debit card was charged fraudulently for costs associated with the rental covered under Massachusetts XXXX XXXX as XXXX a XXXX insurer for the at fault accident, for which XXXX admitted fault. Further, charges were allowed that were fraudulent charged by XXXX that I paid throughy Fast Lane Toll which is provided as attachments",Checking or savings account or service,0,1
"Several customer service representatives and supervisors have unfairly, unprofessionally, misled and misinformed me about how to avoid overdraft fees. Only the last XXXX supervisors that I spoke with fully informed me how to avoid overdraft fees and even both of them had slightly different versions of how I can avoid overdraft fees. How am I suppose to avoid overdraft fees if I 'm not being properly informed by TD Bank 's customer service representatives and supervisors? I followed what I was told and directed to do and I still get hit with overdraft fees. This is seriously unprofessional and unfair to me because all I did was what I was instructed to do by several TD Bank 's customer service representatives and supervisors. I would like for your agency to review all of my recorded customer service conversations so that you can hear how many different, incorrect and incomplete versions of how to prevent overdraft fees I 've been told by TD Bank 's consumer service representatives and supervisors. Even if I read and signed TD Bank 's overdraft fees policy when I first opened my TD Bank checking account, I should n't be told different or incomplete misleading and misinforming versions of TD Banks overdraft policies, especially from TD Bank 's own customer services representatives and supervisors. I just figured and was falsely made to believe that TD Bank 's overdraft fees policies had changed based on the incorrect, unfair, misleading and misinforming information I received directly from several TD Bank customer service representatives and supervisors. A TD Bank customer service supervisor supposedly reviewed all of the recorded conversations between TD Bank 's customer service representatives, supervisors and me and that same TD Bank customer service supervisor concluded that I was fully and correctly informed and that nothing incomplete, misleading or misinforming was ever told to me in regards to any TD Bank 's overdraft fees policies by any of the TD Bank customer service representatives or supervisors I spoke with. To this moment, because of all the endless different versions I been told or received or also because of the lack of information provided by TD Bank 's customer service representatives and supervisors, I still do n't know what are the real and correct overdraft fees policies at TD Bank. Plus I had to endlessly plead with and almost beg the last TD Bank customer service supervisor I spoke with to have someone look into my complaints and unfairly and unprofessionally no one has ever called me back.",Checking or savings account or service,0,1
"Applied checking account with {$250.00} open account bonus promotion.     The requirement is "" To receive the {$250.00} promotional credit to your primary  Wells Fargo  checking or savings account, the following requirements need to be met  ; * Make 10 p urchases or payment with your  Wells Fargo Debit C ard or * Establish a qualifying Direct Deposit on an accumulated {$500.00} or more The {$250.00} credit will post to the account within 60 days of the account opening. ''  XX/XX/17    Account opened with {$50.00} initial deposit  XX/XX/17    {$500.00} direct deposit from my employee   XXXX     Another {$500.00} direct deposit from my employee  Submitted   XXXX  forms and went to Bank for signature and so on as they indicate as reasons for holding the bonus.     Bonus never posted.      XX/XX/17    Receive letter that I did n't meet the requirement for the bonus  ( le tter dated as  XX/XX/17    ). The requirements are the same as I cited earlier and the same as what I saw when open the account.",Checking or savings account or service,1,1
"Checking account # XXXX This is with old account I had and change the account to a new account. This account was no longer active. However, a few days agao my son transfer money from his account to my account. Not knowing, the account was old and inactive account. However, Bank Of America, still allow the transaction to go and took the money to pay over draft fees. My son was not aware this was a inactive account, and sent money in there. To pay a bill on his behalf. When I went to look for the money he transfer me, this is when I learn, the money was transfer to the wrong account. If this account was no longer active, how could bank of america except the money? Then take money to pay off fees, I was not aware about any fees. Because I never receive a letter. How was fees still being charge, if the account was no longer active. It looks like BOA was charing me overdraft fees. on account that was no longer active. Because I open a new cheacking account, due to fraud on this old accout. I feel BOA looks for everyway to rip off custmers to collect fees unfairly. Please read what happens with the fees, they charge on letter below that explains everything. 

Now on this account that I had in the past. I and my wife sign up for overdraft protection with Bank of America awhile back.My account is link to online backing and mobile, to receive alerts for our account. However, when account goes low it does show up right away. The amount I see available at that time does not reflect to what I really have. It takes 24 hours, or even longer on the weekends for the real amount to show. So I am unaware of the true balance of my account due to the delays. If this a weekend, I will not know my true available funds until late Monday. By that time I was charge multiple overdraft fees. Bank of American also holds on to transaction for few days, before you see it as a alert. So the balance is never accurate at time you are reviewing your account, it takes days for it to reflect. Even if you call them, the bank will say to have but so much in the account however, it not true. Due to the fact they did not account for all transactions going on. 

Its allow me to take money out I do not have and/or allow transactions to be process, charging overdraft without me knowing the real balance and charging me overdraft fees. Bank of America unfairly assessed and collected. I was charge overdraft fees on debit card transactions, because Bank of America allow the transaction to be process, instead of declining the transaction due to not enought funds in the account. Furthermore, for example, weeks ago Bank of America allow me to withdraw money from my account, knowing I did not have the funds in the account and then turn around and charge me overdraft fees. They authorized and approved when there was insufficient funds available. How can the approve that when the funds are not there to cover the cost. It appears its the banks way in making money. I should be getting alerts on my phone to let me know when my balance is low and no funds available. However, I never receive those alerts on my cell. BOA fails to reject debit card purchases if there is n't enough money in my account. Then later on I am stuck overdraft charges. Without the alerts. I am unaware of what is going on with my account. When I learn something is wrong it 's too late, BOA charge me overdraft fees in the hundreds per month. I do not know about the overdraft fees until I receive a post card in the mail letting me know. By that time its too late to do anything about it.",Checking or savings account or service,0,0
"XX/XX/2018 RE : bank accounts XXXX XXXX XXXX and XXXX XXXX XXXX On Thursday XX/XX/XXXX and Friday XX/XX/XXXX I open these two bank accounts at Chase Bank in XXXX, Oregon. On Saturday, XX/XX/XXXX, I logged into those accounts, using online banking, in order to purchase checks using XXXX XXXX services. Everything was fine in that online session. 

Today, Monday XX/XX/XXXX, I attempted to log in on those two accounts and received an error message. It said I was unable to log in and to call a number they provided. I called that number and spoke to four people, two of which were an initial fella, XXXX, XXXX, and XXXX. They told me my two accounts were cancelled, that it would take 14-20 days to return via mail the initial deposits in a cashier check. The initial deposit was {$100.00} USD in each account, {$200.00} USD total. 

Well, I am out the {$200.00} for almost three weeks and the cost of the checks which is is {$13.00}, plus my frustration and defamation to my name since this will have negative impact on my credit score. 

No reason was provided to me on canceling my accounts. I have a average credit score. I have existing checking accounts with three other banks in this community on my business banking and my personal banking. 

I am writing this letter to file a formal complaint with Chase Bank on their discriminatory and secretive banking practices. My accounts were cancelled with no notice. My money is being held for 14-20 days before being returned. I am out money I spent on getting checks printed. I made a request to each person I spoke with to go to the local Chase Branch, in XXXX Oregon, and pick up my deposits. Each person said that was not possible. I have not written and checks or made withdraws on those accounts. Why is it taking three weeks to return my money? 

I want a refund of {$200.00} for my deposits, {$13.00} for the checks I ordered, and {$1000.00} in punitive damages. That is a total of {$1200.00} USD that I expect to receive from Chase Bank. 

What do I need to processed a formal complaint with Chase Bank.",Checking or savings account or service,0,0
"there are XXXX issues with my bank account at chase bank. the first is from XXXX 2014 that I want to bring up. I was traveling to XXXX and requested XXXX currency to take with me. I asked about any fees with that the currency transaction and they said "" no ''. I asked more than once. later after I received the money I found out they use a lower transaction rate ( a fee in effect that was very high ). I tried multiple times to return the money as I was misled and they said they could not do that. I feel that this was a very misleading practice from chase - saying there was no fee when there really was in the form of a lower rate. I was going to let that go ( obviously I did not file anything with the cfpb ; I did complain to chase and they did nothing ) but recently there was another troubling issue so I thought I would it add it as well. the most recent issue occurred in the last couple of months. all of sudden the address on my account changed - to an address I used over 10 years ago! ( and to add ... I had closed all my account back then and left chase when I moved away - then when I moved back I opened a new account about 3 years ago. ) I found out when I went in the local branch and they asked me to verify my address. I gave them my current address and the one before that and they said both were wrong. finally they told what address was in there and I was very perplexed as to how that could happen - that a 10 year old address would be there. they said they would look into it and email me ( they wrote down my email ) or call me. I never heard a word form them ( including the manager who was there and said she would handle it ) so i wrote to chase online to try to get answers. so, I have asked about it and no one will give me an answer. when I sent an on line message to get answers they say they will only call - not document anything - and they said they tried to call me but said the number they tried was no longer in service. I checked my chase profile and my correct phone number is in there. anyway, I am very concerned that they would just change my address for no reason on an old account - what else could be changed that I am unaware of?? the old address was also used by my ex wife so i 'm not sure if she had access to any of my acocunt. it 's very scary and upsetting. I 'd like to know what happened and how they are going to ensure it does not happen again. thank you.",Checking or savings account or service,0,0
"In XX/XX/XXXX 2017, I attempted to establish a Primary Beneficiary and Contingent Beneficiaries with Ally bank. Ally Bank said that I can not do this because they are a small bank. I wrote the XXXX XXXX XXXX and they said on XX/XX/XXXX they would not allow me to properly establish my beneficiaries. Ally Bank said they have closed my valid complaint case without any action. 

For example, if I have an individual Saving Account and want my wife to be given the funds if I XXXX, while if my wife and I both XXXX at the same time, I would like the funds to go to my contingency beneficiaries, my XXXX sons, Ally Bank will not honor my request. 

If I had an individual account and I XXXX, the funds must be split XXXX ways, XXXX XXXX going to my wife and XXXX XXXX to each son. 

Ally Bank is required exhibit fiduciary responsibility. and they refuse to distribute my funds in accordance with my wishes in the event that I XXXX XXXX. 

Ally Bank needs to change and allow ALL Ally Bank Customers to properly set up beneficiaries.",Checking or savings account or service,0,0
"Hello, I opened a Citi Gold Checking account XX/XX/2015 per the terms of the XXXX XXXX XXXX XXXX miles promotion. XXXX code : XXXX. I have yet to received the miles posted to my account and it is well past the deadline. Citi bank is being unresponsive. 

In XX/XX/XXXX, I had completed the requirements of the promotion. In XX/XX/XXXX, after not receiving my miles, I reached out to Citibank via phone to see why I had n't received my points. They confirmed that I had met all of the requirements of the promotion and should receive my miles within 30 days. 

In XX/XX/XXXX, I had not received my points so I called again and they said that I needed to complete a XXXX in order to receive the miles. They mailed me one and I immediately filled it out and returned. 

In XX/XX/XXXX, I still had not received my points so I call again and requested to speak with a supervisor. The supervisor confirmed that I had completed the requirements of the promotion but that they needed my XXXX XXXX Advantage #. I provided the number and they stated that I would receive the miles within 30 days. 

In XX/XX/XXXX I received an email stating that Citi had closed my account without permission and I still had not received my miles. 

I feel that I have been scammed by Citi because I completed all of the necessary requirement and had that confirmed by multiple people at Citi, yet they have not followed through on their end of the deal. Then, they have closed my account, I suspect in an attempt to not have to give me my miles. I have spent several hours on the phone and on secure messager over this issue. I am simply requesting that Citi deposit the promised XXXX XXXX XXXX miles into my account. 

Thank you",Checking or savings account or service,0,0
"Good morning, You have an demand deposit account linked to the email address XXXX,  possibly under the name of XXXX XXXX, his number is XXXX. This person is involved in criminal activity and it is doing fraud. I transferred {$400.00} from my bank account to his account using the mentioned email on XX/XX/XXXX in exchange of concert tickets. He stole my money and never sent the tickets. I requested an investigation from my bank and requested to cancel the transaction within an hour of sending him the money. It was in process at this time. I want Citibank to take its fiduciary responsibility, refer this complain to the Bank Secrecy Act / Compliance Officer, conduct a research, monitor transaction activity in this account, and file a Suspicious Activity Report. This person should be in the radar screen of federal prosecutors as he is committing online fraud activity. See attachment for evidence. Please take action.",Checking or savings account or service,0,1
I went to pnc bank in XXXX XXXX To make the deposit and the gentleman who worked at the bank wanted to do me a new card with my married name on it I explain to him that I would not have my ID changed with my married name on it and I did n't want to have a card that had my married name on it and my drivers license I have my maiden name on it. He explained to me that I could continue to use the card that I had until I was ready to activate the card that had my married name on it and there would be no issues so I agreed and told him he could go to the card. Well yesterday XXXX XXXX 2015 I went to go use my card and it was declined then I try to use it at an ATM instead of a merchant place in the ATM told me to call PNC. When I called PNC they explained to me that I was using the wrong card I did not understand that they were talking about. I gave the lady on my card number with the expiration date she told me that that was the wrong expiration date on the card the number was correct. I asked her if I could speak with the supervisor because I was n't understanding what was wrong. I talked to the supervisor who explained to me that when the new card is ordered to you you have 15 days to activate your card with the old card deactivated I explained to her the situation that I explained to the gentleman at the branch I asked them if they could reactivate my card because I did not have my card that was the new one on me explain to them that I have no money on me and I was at work all day and I needed to at least get lunch if there is a way for them to activate the card so I could please get something to eat because I have a medical condition that I need to take medicine with and I needed to have food so I can take the medicine they explained to me that the card is deactivated it can not be reactivated so I explain to them that I did n't know the rule of the 15 days the gentleman at the branch never told me back and I do n't think it 's appropriate to deactivate someone 's car without their knowledge. She apologize for this situation with my work not having any money or access to any money thing to them that I was at work and I could n't leave work and they said you have to go to the branch if you need money and I did n't understand why they could not reactivate my card if they deactivated it how come I ca n't reactivate it. I explain to them I needed to have access to my money back you can not deny me access to my money and that is exactly what they did. Else explain to the gentleman here I spoke with his first name is XXXX 's last name is XXXX who was not understanding to the fact that I did not have any money and I had medical issue and unwilling to fix the mistake that he and see me persistently told me that I needed to go to the branch I explained to him that I was at work and there was no branch close enough to me that I could go to and come directly back to work and when I got off at XXXX less of the branches close. So I asked if it would be an issue if I would consider friends because my drivers license name and my married name for XXXX different names would that be an issue he said it should n't be. Then I asked if I could get a card from the branch he told me no and that was a lie because some branches can give cards and XXXX did @ XXXX. So because I had to take my medicine without food because pnc denied me access to my money I was rather ill for the remainder of the day as well as today. So all in all the lack of correct information given to me by severely employee 's of PNC not only caused me not to have access to my money but also caused me unpleasant illness. Other than being sick I did n't think anything could deny you access to your money and that 's my biggest issue with PNC at the moment but they denied me access to my money I deactivated my car without my knowledge in the act as if it 's okay to do such things.,Checking or savings account or service,0,0
"Hello How are you doing I was having a problem with PayPal. A consumerfinance complaint was filed and I was talking to PayPal and the paradise was told that I was allowed to withdraw the funds in an account on XX/XX/2018. An email was received by PayPal telling me to allow me to withdraw money from My PayPal Account You have entered my PayPal account to add Visa Card to withdraw the amount from the account but when I enter the card information I receive a message that you can not withdraw the money because the account has restrictions and can not be withdrawn Contact the customer service agent to find out why you told me The employee will be contacting the president 's branch company to find out why she is not On the withdrawal of funds and told them that I want to cancel the email added to my account in order to get money because I work in profit sites from the Internet on a regular basis and this company send me money through PayPal, but you must enter the email in the account of PayPal in order to add money She told me that the president 's branch would be contacted and that a complaint would be made to solve the problem. I was told by a message from PayPal that when I looked at my email I received a message from PayPal telling me that I could not withdraw the money after 180 days. The money back if he wants to ed The funds are illegal in the accounts and did not respect the words that I tell you, and told me in the same number XXXX the case that tells the PayPal that I have been to allow the withdrawal of money These photos about the messages that I received from PayPal have been attached",Checking or savings account or service,0,1
"On or about XXXX XXXX, 2016, I elected to open an account with PNC Bank. I was told I would receive a bonus of {$300.00} if the following requirements were met by 60 days : Deposit {$5000.00}, make XXXX debit transactions and send a payment for any amount. I checked with the bank in XX/XX/XXXX after completing the requirements. I was told the requirements were met and the bonus will be added to my checking account. At 60 days, I contacted the bank to check the status and was told the bonus was not attached to the account. The bonus would be in my account no later than XXXX, XXXX, 2016. I called the bank and was told I did not qualify because the {$5000.00} was simply deposited at a branch and the bonus required a business check. I feel deceived because the bank held my money and now refuses to honor the bonus. Adding insult, the bank will charge my account {$25.00} to close the account because 180 day has not elapsed. The marketing rules for the bonus were not fully discloseddisclosed!!",Checking or savings account or service,0,1
"Once again, Citizens Bank uses creative accounting, by changing the order of transactions. From being overdrawn by one transaction to 5 and charging {$35.00} for each one. When I made a deposit to cover the one overdraft, another check came in, which bounced. now there are 6 overdraft charges. The last check they bounced was for my certification to XXXX in New Hampshire allowing me to go back to work, which now I will not be able to. The next group of charges will be for {$30.00} each and every day I am overdrawn, taking up all possibility of making ends meet, or replacing the check made out to the New Hampshire Treasury.",Checking or savings account or service,0,1
"Bank of America closed my account in XX/XX/2014 ( I think ) and placed a suspected fraud/ theft on my name in XXXX making it hard to obtain a bank account with any other banks. I reached out to them on several occasions to have this resolved or investigated and have n't heard anything bank. I spoke with a branch manger on several different occasions and she has called the fraud department and all they tell her is that it is being investigated. They sent me my transaction history showing the money in my account and then coming out but I questioned the check that was deposited, how was it deposited, who deposited the check, how was it cashed, when and by whom. Nobody could tell me anything. I reached out to the company that they say furnished the check to verify that I have no type of business dealings with them or accounts. This company stated that they have nothing to do with myself and they do n't know anything of this check. Bank of America has be so called investigating this far to long. I 've even sent them my police report that I obtained back in XX/XX/XXXX for Identity theft after I found out that someone else had accounts in my name that I found out about after pulling my credit reports. They still have yet to reach back out to me or respond in any kind of way.",Checking or savings account or service,0,1
I have XXXX overdraft fees from Wells Fargo. I am a XXXX XXXX and have been taken advantage of because of my age. I used a Pay Pal card to make XXXX purchases. I didnt realize that the XXXX card did not have sufficient funds so it was debited directly from my Wells Fargo account. XXXX transactions which incurred overdraft fees. I have never requested or felt the need to request an overturn or courtesy reversal of fees but i have no choice. I called and XXXX representatives and a manger who i requested to speak to claimed that Wells Fargo does not have any courtesy refunds for customers. I am XXXX man with little income and have been a good customer to Wells Fargo. This is an outrage! I went inot the banking center and they claimed that the banking center did not have a manager and no none could help me. Are they serious?? Please i ask that you the CFPB look into this and help me out.,Checking or savings account or service,0,1
"For two months now I have not been unable to access my M & T bank accounts online. I rely on online banking to pay my bills. I have made XXXX separate phone calls over the past two months regarding this issue. Every phone call they tried to reset my account and nothing worked. I still get a message after I log in that says, "" online banking is temporarily unavailable. We are working to resolve the service as soon as possible ''. No one has been able to help me and each time I have called I was told that they have to put my name on a list and a supervisor will get back to me the next day. That never happened! I have now been delinquent on my bills for almost two months. A couple of them I was able to pay directly. I just saw on a my mortgage lender account that the bill that I paid using my checkbook was rejected for some reason and I have been charged XXXX late fees!!! The representatives that I spoke with each acknowledged that it was a problem on M & T 's end but yet they have n't it in two months. I have n't even received a phone call. 

I went to a free standing M & T Bank and they told me that they could not help with online issues. Today is now my fourth phone call to M & T bank. I asked to speak to a supervisor and I was put on hold for approximately 56 minutes now. I am still on hold as I am typing this complaint. I ca n't believe that they would treat their customers this way. In the past I have waited no more than 2 minutes for my call to be answered. 

I need this issue resolved as soon as possible. I have never had a late payment to a payee. Now I have a bunch of late fees and counting. My credit is becoming affected by this. Please advise!!",Checking or savings account or service,0,0
